A	Vg	Vf	k	w
-9.99194	1.9159e+11	0	5.89028e-10	1.99973e-09
-9.98194	1.87627e+11	0	6.00875e-10	2.03905e-09
-9.97194	1.83745e+11	0	6.12961e-10	2.07913e-09
-9.96194	1.79943e+11	0	6.25289e-10	2.12001e-09
-9.95194	1.7622e+11	0	6.37865e-10	2.16168e-09
-9.94194	1.72574e+11	0	6.50693e-10	2.20418e-09
-9.93194	1.69003e+11	0	6.6378e-10	2.2475e-09
-9.92194	1.65506e+11	0	6.77129e-10	2.29168e-09
-9.91194	1.62081e+11	0	6.90746e-10	2.33672e-09
-9.90194	1.58727e+11	0	7.04638e-10	2.38265e-09
-9.89194	1.55442e+11	0	7.18808e-10	2.42948e-09
-9.88194	1.52225e+11	0	7.33263e-10	2.47723e-09
-9.87194	1.49074e+11	0	7.48008e-10	2.52591e-09
-9.86194	1.45989e+11	0	7.6305e-10	2.57555e-09
-9.85194	1.42967e+11	0	7.78393e-10	2.62617e-09
-9.84194	1.40008e+11	0	7.94046e-10	2.67778e-09
-9.83194	1.3711e+11	0	8.10012e-10	2.7304e-09
-9.82194	1.34271e+11	0	8.26299e-10	2.78405e-09
-9.81194	1.31492e+11	0	8.42914e-10	2.83875e-09
-9.80194	1.2877e+11	0	8.59862e-10	2.89453e-09
-9.79194	1.26104e+11	0	8.7715e-10	2.9514e-09
-9.78194	1.23493e+11	0	8.94786e-10	3.00939e-09
-9.77194	1.20936e+11	0	9.12776e-10	3.06851e-09
-9.76194	1.18432e+11	0	9.31128e-10	3.1288e-09
-9.75194	1.1598e+11	0	9.49848e-10	3.19027e-09
-9.74194	1.13578e+11	0	9.68944e-10	3.25294e-09
-9.73194	1.11226e+11	0	9.88423e-10	3.31684e-09
-9.72194	1.08923e+11	0	1.00829e-09	3.38199e-09
-9.71194	1.06667e+11	0	1.02856e-09	3.44843e-09
-9.70194	1.04458e+11	0	1.04924e-09	3.51616e-09
-9.69194	1.02295e+11	0	1.07033e-09	3.58522e-09
-9.68194	1.00176e+11	0	1.09185e-09	3.65564e-09
-9.67194	9.81012e+10	0	1.1138e-09	3.72744e-09
-9.66194	9.60692e+10	0	1.13619e-09	3.80065e-09
-9.65194	9.40792e+10	0	1.15902e-09	3.87529e-09
-9.64194	9.21304e+10	0	1.18232e-09	3.95139e-09
-9.63194	9.02218e+10	0	1.20609e-09	4.02899e-09
-9.62194	8.83527e+10	0	1.23033e-09	4.10811e-09
-9.61194	8.65223e+10	0	1.25506e-09	4.18878e-09
-9.60194	8.47297e+10	0	1.28028e-09	4.27103e-09
-9.59194	8.29742e+10	0	1.30601e-09	4.35489e-09
-9.58194	8.1255e+10	0	1.33226e-09	4.44039e-09
-9.57194	7.95714e+10	0	1.35903e-09	4.52758e-09
-9.56194	7.79226e+10	0	1.38635e-09	4.61647e-09
-9.55194	7.63078e+10	0	1.41421e-09	4.7071e-09
-9.54194	7.47265e+10	0	1.44263e-09	4.79951e-09
-9.53194	7.31779e+10	0	1.47162e-09	4.89373e-09
-9.52194	7.16613e+10	0	1.50119e-09	4.98979e-09
-9.51194	7.01761e+10	0	1.53136e-09	5.08774e-09
-9.50194	6.87216e+10	0	1.56213e-09	5.18761e-09
-9.49194	6.72972e+10	0	1.59352e-09	5.28943e-09
-9.48194	6.59023e+10	0	1.62554e-09	5.39325e-09
-9.47194	6.45362e+10	0	1.6582e-09	5.49911e-09
-9.46194	6.31984e+10	0	1.69152e-09	5.60704e-09
-9.45194	6.18883e+10	0	1.72551e-09	5.71708e-09
-9.44194	6.06053e+10	0	1.76017e-09	5.82928e-09
-9.43194	5.93488e+10	0	1.79554e-09	5.94367e-09
-9.42194	5.81183e+10	0	1.83161e-09	6.06031e-09
-9.41194	5.69133e+10	0	1.86841e-09	6.17923e-09
-9.40194	5.57333e+10	0	1.90595e-09	6.30048e-09
